station_id,out 0:00 ~ 1:00,out 1:00 ~ 2:00,out 2:00 ~ 3:00,out 3:00 ~ 4:00,out 4:00 ~ 5:00,out 5:00 ~ 6:00,out 6:00 ~ 7:00,out 7:00 ~ 8:00,out 8:00 ~ 9:00,out 9:00 ~ 10:00,out 10:00 ~ 11:00,out 11:00 ~ 12:00,out 12:00 ~ 13:00,out 13:00 ~ 14:00,out 14:00 ~ 15:00,out 15:00 ~ 16:00,out 16:00 ~ 17:00,out 17:00 ~ 18:00,out 18:00 ~ 19:00,out 19:00 ~ 20:00,out 20:00 ~ 21:00,out 21:00 ~ 22:00,out 22:00 ~ 23:00,out 23:00 ~ 24:00
1961,1.18640553,0.691705069,0.494239631,0.355069124,0.33156682,0.404608295,0.332258065,0.531336406,0.960829493,1.102073733,0.783410138,0.902073733,1.18156682,1.370737327,1.24124424,1.570046083,1.636175115,1.95875576,2.264976959,2.303456221,1.855990783,1.837327189,1.535483871,1.232488479
1962,0.280645161,0.420967742,0.208294931,0.24124424,0.179032258,0.213364055,0.319354839,0.322119816,0.861520737,0.416820276,0.440322581,0.363133641,0.393087558,0.511290323,0.460368664,0.481105991,0.407373272,0.792626728,1.975806452,0.858525346,0.576497696,0.49562212,0.489631336,0.231105991
1964,0.125345622,0.171198157,0.120967742,0.126036866,0.145391705,0.084562212,0.125345622,0.144700461,0.29078341,0.41843318,0.271198157,0.379032258,0.274423963,0.21843318,0.274423963,0.498387097,0.356682028,0.661059908,0.597926267,0.387788018,0.365207373,0.332949309,0.55483871,0.682488479
1965,0.224193548,0.184792627,0.151843318,0.098156682,0.046543779,0.065207373,0.032949309,0.27281106,0.138940092,0.283640553,0.149769585,0.125345622,0.198387097,0.264976959,0.216359447,0.224193548,0.403225806,0.366589862,0.318663594,0.213364055,0.184792627,0.179723502,0.124654378,0.097465438
1966,0.194009217,0.179032258,0.21843318,0.168202765,0.073732719,0.129723502,0.237096774,0.171889401,0.565898618,0.435253456,0.24562212,0.233410138,0.250691244,0.371658986,0.368894009,0.252073733,0.317281106,0.390322581,0.295852535,0.299308756,0.280645161,0.243317972,0.281336406,0.307142857
1967,0.019354839,0.020737327,0.034331797,0.02718894,0.01359447,0.019354839,0.02718894,0.04078341,0.071658986,0.130184332,0.033640553,0.040092166,0.060138249,0.052304147,0.032949309,0.075115207,0.133179724,0.188940092,0.098156682,0.053686636,0.047926267,0.019354839,0.006451613,0.012903226
1968,0.05875576,0.065898618,0.052304147,0.026497696,0.04516129,0.034331797,0.027880184,0.161981567,0.07235023,0.105990783,0.074423963,0.053686636,0.060829493,0.138940092,0.171889401,0.10875576,0.165437788,0.077419355,0.078801843,0.084562212,0.136175115,0.078110599,0.06797235,0.080184332
1969,0.019354839,0.094470046,0.060829493,0.02718894,0.032949309,0.006451613,0.01359447,0.04078341,0.020046083,0.01359447,0.032258065,0.032258065,0.103686636,0.080875576,0.052995392,0.067281106,0.033640553,0.046543779,0.020046083,0.032258065,0.052995392,0.066589862,0.019354839,0.046543779
1971,0.060138249,0.127419355,0.066589862,0.059447005,0.020046083,0.025806452,0.026497696,0.04078341,0.033640553,0.033640553,0.07235023,0.045852535,0.07235023,0.087327189,0.080184332,0.111751152,0.119585253,0.097465438,0.071658986,0.052995392,0.046543779,0.052304147,0.045852535,0.133870968
1973,0.067281106,0.032949309,0.045852535,0.052304147,0.032949309,0.178110599,0.040092166,0.118202765,0.088018433,0.091705069,0.059447005,0.105299539,0.052995392,0.212672811,0.075115207,0.151843318,0.162442396,0.079493088,0.061520737,0.060138249,0.045852535,0.045852535,0.032258065,0.080184332
