,이름,위도,경도
68,화곡119안전센터,37.5376924,126.8500445
69,반포119안전센터,37.502498,126.9959341
70,방학119안전센터,37.6603019,127.0434774
71,신정119안전센터,37.5206982,126.8510351
72,잠원119안전센터,37.50765,127.0137281
73,쌍문119안전센터,37.6576524,127.0244435
74,용두119안전센터,37.5805914,127.0342271
75,잠실119안전센터,37.5141125,127.0995051
76,진관119안전센터,37.6328379,126.934085
77,신도림119안전센터,37.5066233,126.8798866
78,고척119안전센터,37.5041898,126.8499207
79,홍은119안전센터,37.5931834,126.9409333
80,북가좌119안전센터,37.5775163,126.9145643
81,연희119안전센터,37.5696345,126.9343459
82,거여119안전센터,37.4918331,127.1489076
83,개포119안전센터,37.4804298,127.0610333
84,신림119안전센터,37.4823082,126.9263575
85,봉천119안전센터,37.4851768,126.9473275
86,망우119안전센터,37.5961145,127.1009235
87,중화119안전센터,37.6041951,127.082669
88,수서119안전센터,37.4793209,127.0978613
89,미아119안전센터,37.6219824,127.0290876
90,신월119안전센터,37.5280348,126.8310563
91,면목119안전센터,37.5813361,127.0866458
92,백운119안전센터,37.4920607,126.9639926
93,난곡119안전센터,37.4720612,126.9129356
94,창동119안전센터,37.6416857,127.0434091
95,성내119안전센터,37.5289606,127.1393553
96,하계119안전센터,37.6432704,127.0742534
97,삼각산119안전센터,37.6235169,127.0101978
98,목동119안전센터,37.5409898,126.8764006
99,수색119안전센터,37.5898743,126.8990108
100,방배119안전센터,37.4741778,126.9959097
101,성수119안전센터,37.5360825,127.0541224
102,중곡119안전센터,37.5603795,127.0886852
103,공릉119안전센터,37.6304747,127.0884816
104,행당119안전센터,37.5521191,127.0549862
105,상계119안전센터,37.6674685,127.0784751
106,성산119안전센터,37.5659134,126.9039248
107,신수119안전센터,37.5479432,126.931798
108,우이119안전센터,37.6571816,127.0023878
109,우면119안전센터,37.4696823,127.0212006
110,방이119안전센터,37.5240053,127.1210392
111,가락119안전센터,37.4923649,127.1122009
112,천호119안전센터,37.5431858,127.1265222
113,번동119안전센터,37.6311558,127.0333938
114,월계119안전센터,37.6295908,127.0562532
115,도봉119안전센터,37.6817245,127.0300077
116,역촌119안전센터,37.6118192,126.9115437
117,공단119안전센터,37.4781249,126.8874982
118,시흥119안전센터,37.4496793,126.9106948
119,서빙고119안전센터,37.5181414,126.9801461
120,장안119안전센터,37.5711119,127.0674147
121,노량진119안전센터,37.5028266,126.9589021
122,숭인119안전센터,37.5759887,127.0131913
123,신영119안전센터,37.60868,126.9678901
124,구의119안전센터,37.5407621,127.0938631
125,발산119안전센터,37.5460841,126.8296984
126,등촌119안전센터,37.5519877,126.8595352
127,녹번119안전센터,37.5968284,126.9305243
128,대림119안전센터,37.4970585,126.9065857
129,신길119안전센터,37.5095773,126.9184531
130,여의도119안전센터,37.5284362,126.9273741
131,암사119안전센터,37.5577912,127.1295
132,길동119안전센터,37.5397058,127.1470066
133,길동119안전센터,37.5508012,127.1698689
134,미근119안전센터,37.5678735,126.9587899
135,능동119안전센터,37.5490452,127.0767548
136,금호119안전센터,37.545841,127.0245305
137,삼성119안전센터,37.5107654,127.056252
138,영동119안전센터,37.5201614,127.027564
139,수락119안전센터,37.6753755,127.0668456
140,구로119안전센터,37.4969879,126.8873199
